Wall time,Step,Value
1678191575.243958,104885,0.0
1678191588.366386,105604,0.0
1678191591.202735,105703,0.0
1678191605.904985,106446,0.0
1678191609.689265,106553,0.0
1678191612.079861,106641,0.0
1678191619.311394,106889,0.0
1678191627.872453,107167,0.0
1678191633.314462,107472,0.0
1678191635.208726,107536,0.0
1678191637.623994,107629,0.0
1678191638.585192,107639,0.0
1678191639.476411,107651,0.0
1678191654.269374,108193,0.0
1678191657.15565,108271,0.0
1678191659.725493,108364,0.0
1678191663.724855,108505,0.0
1678191667.018176,108836,0.0
1678191672.677031,109009,0.0
1678191679.023958,109269,0.0
1678191694.054497,110231,0.0
1678191697.625487,110346,0.0
1678191707.513927,111154,0.0
1678191709.32261,111234,0.0
1678191715.435652,111616,0.0
1678191719.332558,111674,0.0
1678191722.529198,111792,0.0
1678191730.327425,112384,0.0
1678191732.271502,112434,0.0
1678191776.869001,112559,0.0
1678191778.127552,112623,0.0
1678191780.557751,112724,0.0
1678191784.882799,112922,0.0
1678191788.05805,113003,0.0
1678191793.524283,113156,0.0
1678191798.342931,113218,0.0
1678191801.102882,113322,0.0
1678191806.101596,113689,0.0
1678191807.298113,113750,0.0
1678191810.714233,114021,0.0
1678191818.737009,115021,0.0
1678191819.847586,115032,0.0
1678191822.300742,115157,0.0
1678191824.217363,115319,0.0
1678191825.891189,115334,0.0
1678191826.921748,115388,0.0
1678191828.292568,115470,0.0
1678191835.310794,115815,0.0
1678191839.777682,115950,0.0
1678191841.56872,115978,0.0
1678191857.124804,116858,0.0
1678191859.171865,116969,0.0
1678191868.460188,117730,0.0
1678191869.505335,117769,0.0
1678191874.391177,118016,0.0
1678191878.046226,118187,0.0
1678191881.300323,118273,0.0
1678191882.773046,118288,0.0
1678191884.627779,118303,0.0
1678191885.67705,118315,0.0
1678191888.300205,118572,0.0
1678191893.490854,119096,0.0
1678191917.786043,120164,0.0
1678191999.842447,121177,0.0
1678192009.457459,121564,0.0
1678192011.348038,121608,0.0
1678192012.347073,121617,0.0
1678192016.837622,121700,0.0
1678192034.61845,122156,0.0
1678192036.478046,122196,0.0
1678192065.957383,123134,0.0
1678192079.441303,123572,0.0
1678192081.02009,123606,0.0
1678192088.20334,123869,0.0
1678192091.558702,123950,0.0
1678192104.072896,124406,0.0
1678192105.193378,124413,0.0
1678192111.509599,124574,0.0
1678192114.926238,124657,0.0
1678192128.590455,125143,0.0
1678192130.622259,125202,0.0
1678192151.907258,125889,0.0
1678192160.193322,126126,0.0
1678192172.464487,126634,0.0
1678192179.882771,126871,0.0
1678192185.511351,127087,0.0
1678192196.212924,127435,0.0
1678192199.8258,127554,0.0
1678192243.734925,129004,0.0
1678192246.086785,129021,0.0
1678192251.545726,129124,0.0
1678192256.960261,129291,0.0
1678192262.243175,129411,0.0
1678192315.419892,129465,0.0
1678192317.65739,129524,0.0
1678192325.181251,129746,0.0
1678192326.109467,129753,0.0
1678192342.293843,130263,0.0
1678192343.801829,130286,0.0
1678192347.436091,130361,0.0
1678192349.70607,130410,0.0
1678192364.328449,130757,0.0
1678192368.977799,130918,0.0
1678192371.335502,130948,0.0
1678192385.411708,131313,0.0
1678192393.940876,131600,0.0
1678192395.336175,131616,0.0
1678192399.390892,131752,0.0
1678192412.847106,132022,0.0
1678192423.90767,132391,0.0
1678192437.424382,132887,0.0
1678192453.761307,133434,0.0
1678192467.801497,133912,0.0
1678192486.703329,134692,0.0
1678192494.553284,134838,0.0
1678192500.423121,135001,0.0
1678192505.576083,135164,0.0
1678192509.267322,135249,0.0
1678192511.30083,135303,0.0
1678192552.425409,136688,0.0
